firstname	commonname	playerjerseyname	surname	playerid
Raphael	Raphael Freitas	Raphael Freitas	Freitas Marcolino	4621
Leonardo	Léo Natel	Léo Natel	Natel Vieira	4622
Rômulo	Rômulo	Rômulo	Azevedo Simao	4623
Wesley Vinícius	Wesley	Wesley	França Lima	4624
Wellington	Wellington Reis	Wellington Reis	Rodrigues dos Reis	4625
Fabio	Fabio Lima	Fabio Lima	de Lima Costa	4626
Diego Luíz	Diego Landis	Diego Landis	Landis	4627
Leonardo Maria	Léo Mana	Léo Mana	Hernandes	4628
José Willian	Willian	Willian	do Nascimento Santos	4629
Daniel	Porozo	Porozo	Porozo	4630
Rodrigo Eduardo	Rodrigo Sam	Rodrigo Sam	da Silva	4631
Marlyson	Marlyson	Marlyson	Conceição Oliveira	4632
Fabio	Fabinho	Fabinho	Silva de Freitas	4633
Diego	Quirino	Quirino	de Souza Quirino	4635
William	William Pottker	Willaim Pottker	de Oliveira Pottker	4636
Cristhian		Rivas	Rivas	4637
Matheus Mascarenhas	Matheus Mascarenhas	Mascarenhas	dos Santos Raimundo	4638
Matheus	Matheus Salustiano	Salustiano	Salustiano Pires	4639
Leovigildo Junior	Juninho	Juninho	Reis Rodrigues	4640
Douglas	Douglas Pelé	Douglas Pelé	da Silva Santos	4641
Richard Alexandre	Richard	Richard	Birkheun Rodrigues	4642
João Paulo	João Paulo	João Paulo	da Silva	4643
Alan	Alanzinho	Alanzinho	de Souza Guimaraes	4644
Jordan Esteves	Jordan	Jordan	da Costa Daniel	4645
Tharlis	Tharlis	Tharlis	Sartori	4646
Carlos		C. Orejuela	Orejuela	4647
Gildson Pablo	Pablo Oliveira	Pablo Oliveira	de Oliveira Silva	4648
Gérson Alencar	Gerson Magrão	Gerson Magrão	de Lima Junior	4649
Carlos Miguel	Carlos Miguel	Carlos Miguel	dos Santos Pereira	4650
Guilherme Sucigan	Guilherme Biro	Guilherme Biro	Mafra Cunha	4651
Robert Renan	Robert Renan	Robert Renan	Alves Barbosa	4652
Giovane	Giovane	Giovane	Santana do Nascimento	4653
Leonardo Matias	Léo Linck	Léo Linck	Linck	4654
Alisson	Alisson Santos	Alisson Santos	Almeida Santos	4655
Leandro	Leandro Carvalho	Leandro Carvalho	Carvalho	4656
Vitor Ricardo	Vitor Ricardo	V. Ricardo	Candido Wach	4657
Hércules	Hércules	Hércules	Pereira do Nascimento	4658
José Vitor	Zé Vitor	Zé Vitor	Cavalieri	4659
Andrey	Andrey Santos	Andrey Santos	Nascimento dos Santos	4660
Rubens	Rubens	Rubens	Antônio Dias	4661
Railan	Railan	Railan	Reis	4662
Paes	Paes	Paes	Paes	4663
Rickson	Rickson	Rickson	Martins dos Santos	4664
Eder	Eder Sciola	Eder Sciola	Sciola Santana	4665
Flávio	Flávio Boaventura	F.Boaventura	Boaventura	4666
Anderson	Anderson Ligeiro	Anderson Ligeiro	Ligeiro	4667
Tauã	Tauã	Tauã	Antunes	4668
Victor	Victor Pereira	Victor Pereira	Santos Pereira	4669
Wagner	Wagner	Wagner	Junior	4670
Cesar	Cesinha	Cesinha	De Oliveira	4671
Elivelton	Foguinho	Foguinho	Lima Desplanches	4672
Kayan	Kayan	Kayan	Mazuline Santana	4673
Bruno Cardoso	Bruninho	Bruninho	Gonçalves dos Santos	4674
Douglas	Dogão	Dogão	da Silva Ferreira	4675
Sérgio Paulo	Serginho	Serginho	Nascimento Filho	4676
Douglas	Douglas Mendes	Douglas Mendes	Mendes Moreira	4677
Eduardo	Edu Negueba	Edu Negueba	Lima de Carvalho	4678
Diego Alessandro	Diego Sacoman	Diego Sacoman	Aparecido Sacoman Silva	4679
Dênis Neves	Dênis Neves	Dênis Neves	Resende da Silva	4680
Bruno Leonardo	Bruno Formigoni	Bruno Formigoni	Formigoni	4681
Giancarlo Israel	Gian	Gian	Previato	4682
Marcos Paulo	Marcos Nunes	Marcos Nunes	Nunes Barros	4683
Willian	Will Viana	Will Viana	Viana Santos	4684
Danilo	Danilo Pereira	Danilo Pereira	Santana Pereira	4685
Geovani Junior	Geovani	Geovani	Martins Santos	4686
Gustavo	Gustavo França	Gustavo França	França Amadio	4687
Luís Ricardo	Luís Ricardo	Luís Ricardo	Silva Umbelino	4688
Gabriel	Gabriel Ramos	Gabriel Ramos	dos Santos Ramos	4689
Igor Roberto	Igor Bahia	Igor Bahia	Oliveira de Souza	4690
Patrick Marcos	Patrick	Patrick	de Souza Freitas	4691
Marco Gabriel	Marco	Marco	de Oliveira Santos	4692
Carlos Henrique	Carlos Henrique	Carlos Henrique	de Jesus Souza	4693
Caio Danilo	Caio Mancha	Caio Mancha	Laursen Tuponi	4694
Leonardo	Léo Castro	Léo Castro	Luíz e Castro	4695
Diogo Lucio	Diogo Marzagão	Diogo Marzagão	Tavares Pires	4696
Hudson Alexandre	Hudson	Hudson	Batista da Silva	4697
Valmir Aparecido Francis	Francis	Francis	de Campos Junior	4698
Luan Michel	Luan	Luan	Louza	4699
João Victor	João Victor	João Victor	Sales de Araujo	4700
David	David	David	Rambo Becker	4701
Juan Pablo	Juan Pablo	Juan Pablo	Lopes	4702
Everton	Everton Dias	Everton Dias	Macedo Dias	4703
Anderson	Anderson Künzel	Anderson Künzel	Künzel Barreto	4704
Marinaldo	Naldo	Naldo	dos Santos Oliveira	4705
Guilherme	Guilherme Castro	Guilherme Castro	Nascimento de Castro	4706
Carlos Eduardo	Kadu	Kadu	dos Santos	4707
Ruan	Ruan	Ruan	Marques	4708
Paulo Roberto	Brito	Brito	Santos de Brito	4709
Matheus Purcelo	Matheus Moraes	M Moraes	Blecha de Moraes	4710
Leandro	Leandro	Leandro	da Silva Santos	4711
Rafael	Rafael Barros	Rafael Barros	Barros Silva	4712
Bruno Luíz	Bruno Luíz	Bruno Luíz	Rodrigues Lucio	4713
William Amorim	William	William	Martins de Menezes	4714
Carlos Matheus	Carlinhos	Carlinhos	Maia	4715
Diogo Vítor	Diogo Vítor	Diogo Vítor	da Cruz	4716
Nathan	Nathan	Nathan	Girotto Gil	4717
Iago	Iago	Iago	Antunes	4718
Felipe Francisco	Felipe Macedo	Felipe Macedo	Macedo Guimaraes	4719
Alexandre	Alexandre	Alexandre	Camargo	4720
Mateus	Zanetti	Zanetti	Ribeiro Zanetti	4721
